DATE,LATITUDE,LONGITUDE,INJURED,KILLED,PED_INJURED,PED_KILLED,CYC_INJURED,CYC_KILLED,MOT_INJURED,MOT_KILLED
05/06/2017,40.75313,-73.71528,1,0,0,0,1,0,0,0
05/06/2017,40.65831,-73.93075,0,0,0,0,0,0,0,0
05/06/2017,40.750294,-73.99485,0,0,0,0,0,0,0,0
05/06/2017,40.779804,-73.98448,0,0,0,0,0,0,0,0
05/06/2017,40.725937,-74.01103,0,0,0,0,0,0,0,0
05/06/2017,40.745823,-73.77242,4,0,0,0,0,0,4,0
05/06/2017,40.859875,-73.89323,0,0,0,0,0,0,0,0
05/06/2017,40.635307,-74.00974,0,0,0,0,0,0,0,0
05/06/2017,40.75787,-73.78827,0,0,0,0,0,0,0,0
05/06/2017,40.70768,-73.74512,0,0,0,0,0,0,0,0
05/06/2017,40.838142,-73.851234,0,0,0,0,0,0,0,0
05/06/2017,40.663517,-73.957214,0,0,0,0,0,0,0,0
05/06/2017,40.594925,-73.95852,0,0,0,0,0,0,0,0
05/06/2017,40.653873,-74.008156,0,0,0,0,0,0,0,0
05/06/2017,40.669975,-73.91988,0,0,0,0,0,0,0,0
05/06/2017,40.74339,-73.98615,0,0,0,0,0,0,0,0
05/06/2017,40.77987,-73.8144,0,0,0,0,0,0,0,0
05/06/2017,40.719547,-73.73809,0,0,0,0,0,0,0,0
05/06/2017,40.74403,-73.85869,1,0,0,0,1,0,0,0
05/06/2017,40.711147,-73.91818,0,0,0,0,0,0,0,0
05/06/2017,40.62587,-74.13456,0,0,0,0,0,0,0,0
05/06/2017,40828,-73.84701,0,0,0,0,0,0,0,0
05/06/2017,40.525543,-74.20547,0,0,0,0,0,0,0,0
05/06/2017,40.8444,-73.90159,0,0,0,0,0,0,0,0
05/06/2017,40.74163,-73.87774,1,0,1,0,0,0,0,0
05/06/2017,40.642384,-73.92539,1,0,0,0,0,0,1,0
05/06/2017,40.77548,-73.82452,0,0,0,0,0,0,0,0
05/06/2017,40.755753,-73.883514,0,0,0,0,0,0,0,0
05/06/2017,40.76635,-73.88756,1,0,0,0,0,0,1,0
05/06/2017,40.721977,-73.959946,0,0,0,0,0,0,0,0
05/06/2017,40.62501,-74.16144,0,0,0,0,0,0,0,0
05/06/2017,40.626976,-74.131134,0,0,0,0,0,0,0,0
05/06/2017,40.739445,-73.81589,0,0,0,0,0,0,0,0
05/06/2017,40.55959,-74.16958,0,0,0,0,0,0,0,0
05/06/2017,40.638542,-73.92604,0,0,0,0,0,0,0,0
05/06/2017,40.72227,-73.9411,0,0,0,0,0,0,0,0
05/06/2017,40.78866,-73.778625,0,0,0,0,0,0,0,0
05/06/2017,40.79522,-73.921524,0,0,0,0,0,0,0,0
05/06/2017,40.829052,-73.85038,1,0,1,0,0,0,0,0
05/06/2017,40.72091,-73.88805,2,0,0,0,0,0,2,0
05/06/2017,40.709755,-73.95707,1,0,0,0,1,0,0,0
05/06/2017,40.604206,-73.99146,0,0,0,0,0,0,0,0
05/06/2017,40.84845,-73.88342,0,0,0,0,0,0,0,0
05/06/2017,40.62139,-73.99555,0,0,0,0,0,0,0,0
05/06/2017,40.801323,-73.936195,0,0,0,0,0,0,0,0
05/06/2017,40.642384,-73.92539,2,0,0,0,0,0,2,0
05/06/2017,40.70671,-73.94988,0,0,0,0,0,0,0,0
05/06/2017,40.735516,-73.87584,0,0,0,0,0,0,0,0
05/06/2017,40.607185,-74.16239,0,0,0,0,0,0,0,0
05/06/2017,40.748436,-73.984566,0,0,0,0,0,0,0,0
05/06/2017,40.73559,-73.92451,2,0,0,0,0,0,2,0
05/06/2017,40.64295,-73.95356,1,0,0,0,0,0,1,0
05/06/2017,40.699436,-73.91229,0,0,0,0,0,0,0,0
05/06/2017,40.764896,-73.97256,0,0,0,0,0,0,0,0
05/06/2017,40.890076,-73.819855,0,0,0,0,0,0,0,0
05/06/2017,40.883343,-73.81614,1,0,0,0,0,0,1,0
05/06/2017,40.760456,-73.98374,0,0,0,0,0,0,0,0
05/06/2017,40.666008,-73.789536,0,0,0,0,0,0,0,0
05/06/2017,40.689648,-73.9184,0,0,0,0,0,0,0,0
05/06/2017,40.648464,-74.00683,0,0,0,0,0,0,0,0
05/06/2017,40.8047,-73.83141,0,0,0,0,0,0,0,0
05/06/2017,40.8138,-73.90495,0,0,0,0,0,0,0,0
05/06/2017,40.71369,-74.01376,0,0,0,0,0,0,0,0
05/06/2017,40.763893,-73915,0,0,0,0,0,0,0,0
05/06/2017,40.679073,-73.86329,1,0,0,0,0,0,1,0
05/06/2017,40.76242,-73.82752,0,0,0,0,0,0,0,0
05/06/2017,40.71388,-73.75404,0,0,0,0,0,0,0,0
05/06/2017,40.751522,-73.99396,0,0,0,0,0,0,0,0
05/06/2017,40.771458,-73.90643,0,0,0,0,0,0,0,0
05/06/2017,40.582962,-73.9864,0,0,0,0,0,0,0,0
05/06/2017,40.686234,-73.82418,0,0,0,0,0,0,0,0
05/06/2017,40.67035,-73.89743,1,0,0,0,1,0,0,0
05/06/2017,40.649082,-73.96399,0,0,0,0,0,0,0,0
05/06/2017,40.706142,-73.83177,0,0,0,0,0,0,0,0
05/06/2017,40.622467,-74.159706,0,0,0,0,0,0,0,0
05/06/2017,40.768982,-73.91064,0,0,0,0,0,0,0,0
05/06/2017,40.839996,-73.86832,0,0,0,0,0,0,0,0
05/06/2017,40.660656,-73.93033,0,0,0,0,0,0,0,0
05/06/2017,40.714527,-73.97481,0,0,0,0,0,0,0,0
05/06/2017,40.64647,-74.01258,1,0,0,0,0,0,1,0
05/06/2017,40.8606,-73.91102,0,0,0,0,0,0,0,0
05/06/2017,40.783417,-73.956955,0,0,0,0,0,0,0,0
05/06/2017,40.600723,-74.00586,0,0,0,0,0,0,0,0
05/06/2017,40.7543,-73.947014,0,0,0,0,0,0,0,0
05/06/2017,40.740047,-73.86725,0,0,0,0,0,0,0,0
05/06/2017,40.665634,-73.758156,0,0,0,0,0,0,0,0
05/06/2017,40.678574,-74.00358,0,0,0,0,0,0,0,0
05/06/2017,40.713303,-73.73586,0,0,0,0,0,0,0,0
05/06/2017,40.746002,-73.99427,0,0,0,0,0,0,0,0
05/06/2017,40.833588,-73.8615,0,0,0,0,0,0,0,0
05/06/2017,40.729046,-73.71643,0,0,0,0,0,0,0,0
05/06/2017,40.608364,-74.038666,0,0,0,0,0,0,0,0
05/06/2017,40.816555,-73.91677,1,0,0,0,1,0,0,0
05/06/2017,40.651585,-73.93399,0,0,0,0,0,0,0,0
05/06/2017,40.756496,-73.988075,0,0,0,0,0,0,0,0
05/06/2017,40.692192,-73.98628,0,0,0,0,0,0,0,0
05/06/2017,40.69787,-73.743034,0,0,0,0,0,0,0,0
05/06/2017,40.768997,-73.83362,1,0,1,0,0,0,0,0
05/06/2017,40.60715,-73.89837,0,0,0,0,0,0,0,0
05/06/2017,40.901066,-73.85226,0,0,0,0,0,0,0,0
05/06/2017,40.692287,-73.93691,1,0,0,0,0,0,1,0
05/06/2017,40.75003,-73.99503,0,0,0,0,0,0,0,0
05/06/2017,40.66209,-73.918564,0,0,0,0,0,0,0,0
05/06/2017,40.884724,-73.89699,0,0,0,0,0,0,0,0
05/06/2017,40.723274,-73.94223,0,0,0,0,0,0,0,0
05/06/2017,40.73218,-73.98672,0,0,0,0,0,0,0,0
05/06/2017,40.80054,-73.96192,0,0,0,0,0,0,0,0
05/06/2017,40.710827,-73.77066,0,0,0,0,0,0,0,0
05/06/2017,40.64638,-73.9288,0,0,0,0,0,0,0,0
05/06/2017,40.535835,-74.19648,0,0,0,0,0,0,0,0
05/06/2017,40.74937,-73.739494,0,0,0,0,0,0,0,0
05/06/2017,40.717033,-73.95644,1,0,0,0,1,0,0,0
05/06/2017,40.876617,-73.83926,0,0,0,0,0,0,0,0
05/06/2017,40.832233,-73.85427,0,0,0,0,0,0,0,0
05/06/2017,40.76242,-73.82752,0,0,0,0,0,0,0,0
05/06/2017,40.675964,-73.97935,0,0,0,0,0,0,0,0
05/06/2017,40.714554,-73.83147,0,0,0,0,0,0,0,0
05/06/2017,40.87541,-73.90436,0,0,0,0,0,0,0,0
05/06/2017,40.69922,-73.98687,0,0,0,0,0,0,0,0
05/06/2017,40.71271,-73.96056,0,0,0,0,0,0,0,0
05/06/2017,40.75011,-73.91541,0,0,0,0,0,0,0,0
05/06/2017,40.76076,-73.79345,0,0,0,0,0,0,0,0
05/06/2017,40.579975,-73.97464,0,0,0,0,0,0,0,0
05/06/2017,40.58353,-73.971214,0,0,0,0,0,0,0,0
05/06/2017,40.67435,-73.73186,1,0,0,0,0,0,1,0
05/06/2017,40.64934,-73.94264,6,0,0,0,0,0,6,0
05/06/2017,40.661003,-73.94776,0,0,0,0,0,0,0,0
05/06/2017,40.8297,-73.91932,0,0,0,0,0,0,0,0
05/06/2017,40.69768,-73.93649,0,0,0,0,0,0,0,0
05/06/2017,40.586807,-73.95257,0,0,0,0,0,0,0,0
05/06/2017,40.809643,-73.947845,0,0,0,0,0,0,0,0
05/06/2017,40.66735,-73.76994,0,0,0,0,0,0,0,0
05/06/2017,40.695908,-73.98322,0,0,0,0,0,0,0,0
05/06/2017,40.68342,-73982,0,0,0,0,0,0,0,0
